open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,symbol,date,rsi_12,rsi_24,macd,macd_signal,macd_hist,ema_20,ema_50,ema_90,bb_mid,bb_upper,bb_lower,ema_check,macd_check,rsi_check,volume_ma,volume_strength,volume_signal,alert_signal
1735675200000.0,193.81,194.82,189.2,189.31,390206.077,1735689599999.0,74895113.40003,163584,194567.152,37354862.75009,0,SOLUSDT,2024-12-31 20:00:00,,,,,,,,,,,,.,,,,,-,None
1735689600000.0,189.31,192.66,189.08,190.43,300383.879,1735703999999.0,57398615.66134,136324,164052.928,31346373.37427,0,SOLUSDT,2025-01-01 00:00:00,,,,,,,,,,,,.,,,,,-,None
1735704000000.0,190.42,190.62,189.32,190.06,200370.138,1735718399999.0,38057595.36962,91417,117153.193,22249922.92988,0,SOLUSDT,2025-01-01 04:00:00,,,,,,,,,,,,.,,,,,-,None
1735718400000.0,190.06,191.86,188.0,191.36,282560.942,1735732799999.0,53644575.44455,136321,153795.865,29216844.57573,0,SOLUSDT,2025-01-01 08:00:00,,,,,,,,,,,,.,,,,,-,None
1735732800000.0,191.35,192.15,189.14,191.91,303578.959,1735747199999.0,57896196.0426,161994,152394.661,29068503.37796,0,SOLUSDT,2025-01-01 12:00:00,,,,,,,,,,,,.,,,,,-,None
1735747200000.0,191.91,193.91,189.25,193.1,292988.472,1735761599999.0,56082427.8394,184702,137448.12,26315212.89075,0,SOLUSDT,2025-01-01 16:00:00,,,,,,,,,,,,.,,,,,-,None
1735761600000.0,193.1,195.33,193.1,194.28,275277.712,1735775999999.0,53479021.34948,154266,132737.034,25788042.20972,0,SOLUSDT,2025-01-01 20:00:00,,,,,,,,,,,,.,,,,,-,None
1735776000000.0,194.28,199.7,193.43,198.54,596298.24,1735790399999.0,117780185.72937,262817,310167.766,61262233.70631,0,SOLUSDT,2025-01-02 00:00:00,,,,,,,,,,,,.,,,,,-,None
1735790400000.0,198.55,206.89,198.54,205.91,818936.965,1735804799999.0,167175465.4788,306211,454043.256,92630638.72493,0,SOLUSDT,2025-01-02 04:00:00,,,,,,,,,,,,.,,,,,-,None
1735804800000.0,205.91,208.88,205.66,208.51,492598.555,1735819199999.0,102023055.52721,209531,262373.927,54350786.32418,0,SOLUSDT,2025-01-02 08:00:00,,,,,,,,,,,,.,,,,,-,None
1735819200000.0,208.52,210.48,205.45,206.77,692607.425,1735833599999.0,144033445.88986,432941,372289.137,77455273.86886,0,SOLUSDT,2025-01-02 12:00:00,,,,,,,,,,,,.,,,,,-,None
1735833600000.0,206.77,209.07,204.67,206.69,397816.106,1735847999999.0,82263373.13959,236316,199322.376,41238574.09521,0,SOLUSDT,2025-01-02 16:00:00,,,,,,,,,,,,.,,,,,-,None
