open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,symbol,date,rsi_12,rsi_24,macd,macd_signal,macd_hist,ema_20,ema_50,ema_90,bb_mid,bb_upper,bb_lower,ema_check,macd_check,rsi_check,volume_ma,volume_strength,volume_signal,alert_signal
1735675200000.0,6.696,6.721,6.617,6.643,420118.56,1735689599999.0,2800344.99616,8684,199825.63,1332413.48577,0,DOTUSDT,2024-12-31 20:00:00,,,,,,,,,,,,.,,,,,-,None
1735689600000.0,6.642,6.754,6.632,6.663,364763.01,1735703999999.0,2436795.66691,8234,178809.76,1194861.24966,0,DOTUSDT,2025-01-01 00:00:00,,,,,,,,,,,,.,,,,,-,None
1735704000000.0,6.662,6.685,6.624,6.648,214296.86,1735718399999.0,1426153.05661,5293,107135.96,713076.15821,0,DOTUSDT,2025-01-01 04:00:00,,,,,,,,,,,,.,,,,,-,None
1735718400000.0,6.647,6.663,6.52,6.622,652369.14,1735732799999.0,4290195.89933,12455,286342.71,1883102.35269,0,DOTUSDT,2025-01-01 08:00:00,,,,,,,,,,,,.,,,,,-,None
1735732800000.0,6.621,6.81,6.617,6.8,777385.31,1735747199999.0,5216165.20905,14270,382878.24,2570109.33686,0,DOTUSDT,2025-01-01 12:00:00,,,,,,,,,,,,.,,,,,-,None
1735747200000.0,6.8,7.038,6.725,6.995,1621558.99,1735761599999.0,11195252.99763,31146,767233.6,5299392.71496,0,DOTUSDT,2025-01-01 16:00:00,,,,,,,,,,,,.,,,,,-,None
1735761600000.0,6.996,7.141,6.995,7.051,1224276.88,1735775999999.0,8678996.22819,23142,611102.59,4333264.18704,0,DOTUSDT,2025-01-01 20:00:00,,,,,,,,,,,,.,,,,,-,None
1735776000000.0,7.052,7.229,7.051,7.162,1239013.48,1735790399999.0,8894077.75978,25533,597822.7,4290451.7482,0,DOTUSDT,2025-01-02 00:00:00,,,,,,,,,,,,.,,,,,-,None
1735790400000.0,7.163,7.27,7.124,7.227,813929.63,1735804799999.0,5860954.93266,16794,401930.81,2896126.5466,0,DOTUSDT,2025-01-02 04:00:00,,,,,,,,,,,,.,,,,,-,None
1735804800000.0,7.227,7.36,7.177,7.296,1022966.34,1735819199999.0,7457164.04816,21484,525571.23,3831121.65949,0,DOTUSDT,2025-01-02 08:00:00,,,,,,,,,,,,.,,,,,-,None
1735819200000.0,7.297,7.333,7.159,7.188,1505015.85,1735833599999.0,10902150.19625,29015,692029.84,5014367.7201,0,DOTUSDT,2025-01-02 12:00:00,,,,,,,,,,,,.,,,,,-,None
1735833600000.0,7.19,7.25,7.109,7.158,686030.11,1735847999999.0,4928594.11812,14731,368374.3,2646707.83511,0,DOTUSDT,2025-01-02 16:00:00,,,,,,,,,,,,.,,,,,-,None
1735848000000.0,7.158,7.205,7.102,7.177,396043.36,1735862399999.0,2836182.71444,8584,194809.66,1395376.26833,0,DOTUSDT,2025-01-02 20:00:00,75.72653226135631,,,,,,,,,,,.,,,,,-,None
1735862400000.0,7.179,7.349,7.135,7.326,711857.9,1735876799999.0,5150967.25781,14486,384326.59,2781011.53413,0,DOTUSDT,2025-01-03 00:00:00,81.17212549453733,,,,,,,,,,,.,,,,,-,None
1735876800000.0,7.326,7.336,7.194,7.22,810670.7,1735891199999.0,5879490.92841,15824,373962.22,2711698.71599,0,DOTUSDT,2025-01-03 04:00:00,69.13507766754576,,,,,,,,,,,.,,,,,-,None
1735891200000.0,7.221,7.794,7.221,7.689,2934926.78,1735905599999.0,22124848.06978,52198,1587589.97,11960052.3137,0,DOTUSDT,2025-01-03 08:00:00,82.01095299518647,,,,,,,,,,,.,,,,,-,None
1735905600000.0,7.689,7.939,7.68,7.865,2570267.13,1735919999999.0,20052679.95859,42786,1212704.95,9461325.96216,0,DOTUSDT,2025-01-03 12:00:00,84.63500472057477,,,,,,,,,,,.,,,,,-,None
1735920000000.0,7.866,8.044,7.743,7.756,2933454.25,1735934399999.0,23082886.63698,45097,1476959.4,11654808.09095,0,DOTUSDT,2025-01-03 16:00:00,77.04231026296435,,,,,,,,,,,.,,,,,-,None
1735934400000.0,7.754,7.775,7.637,7.754,930893.41,1735948799999.0,7187032.19581,19894,479452.91,3703585.29536,0,DOTUSDT,2025-01-03 20:00:00,76.90421204128546,,,,,,,,,,,.,,,,,-,None
