open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,symbol,date,rsi_12,rsi_24,macd,macd_signal,macd_hist,ema_20,ema_50,ema_90,bb_mid,bb_upper,bb_lower,ema_check,macd_check,rsi_check,volume_ma,volume_strength,volume_signal,alert_signal
1735675200000.0,0.31823,0.31905,0.31517,0.316,103846746.0,1735689599999.0,32906606.11605,110471,55277720.0,17512706.97385,0,DOGEUSDT,2024-12-31 20:00:00,,,,,,,,,,,,.,,,,,-,None
1735689600000.0,0.316,0.3215,0.3156,0.31893,103788753.0,1735703999999.0,33133234.4618,115534,50854389.0,16231778.71405,0,DOGEUSDT,2025-01-01 00:00:00,,,,,,,,,,,,.,,,,,-,None
1735704000000.0,0.31892,0.31918,0.31616,0.31682,74962086.0,1735718399999.0,23792100.6847,84703,34038179.0,10804705.72809,0,DOGEUSDT,2025-01-01 04:00:00,,,,,,,,,,,,.,,,,,-,None
1735718400000.0,0.31681,0.31739,0.31195,0.31623,122707460.0,1735732799999.0,38634737.62732,132091,56123504.0,17691909.29675,0,DOGEUSDT,2025-01-01 08:00:00,,,,,,,,,,,,.,,,,,-,None
1735732800000.0,0.31623,0.32076,0.316,0.32041,134354937.0,1735747199999.0,42721447.37658,144635,66589531.0,21178068.1114,0,DOGEUSDT,2025-01-01 12:00:00,,,,,,,,,,,,.,,,,,-,None
1735747200000.0,0.32041,0.32595,0.31715,0.32494,128824938.0,1735761599999.0,41456052.04726,172479,64510348.0,20779495.0796,0,DOGEUSDT,2025-01-01 16:00:00,,,,,,,,,,,,.,,,,,-,None
1735761600000.0,0.32494,0.32749,0.32408,0.32513,140798980.0,1735775999999.0,45847314.62227,130977,59988858.0,19533984.11307,0,DOGEUSDT,2025-01-01 20:00:00,,,,,,,,,,,,.,,,,,-,None
1735776000000.0,0.32513,0.33888,0.3246,0.33143,395328299.0,1735790399999.0,131620485.65145,355249,212481518.0,70760016.30812,0,DOGEUSDT,2025-01-02 00:00:00,,,,,,,,,,,,.,,,,,-,None
1735790400000.0,0.33144,0.33569,0.32937,0.33436,204823756.0,1735804799999.0,68123744.00311,169375,109443545.0,36399068.82191,0,DOGEUSDT,2025-01-02 04:00:00,,,,,,,,,,,,.,,,,,-,None
1735804800000.0,0.33436,0.345,0.33354,0.3422,391016632.0,1735819199999.0,132868174.6255,296214,195420716.0,66449925.70052,0,DOGEUSDT,2025-01-02 08:00:00,,,,,,,,,,,,.,,,,,-,None
1735819200000.0,0.3422,0.3442,0.33551,0.33695,328206975.0,1735833599999.0,111473379.8766,335170,151182078.0,51334060.84039,0,DOGEUSDT,2025-01-02 12:00:00,,,,,,,,,,,,.,,,,,-,None
1735833600000.0,0.33696,0.34047,0.33379,0.3388,158540281.0,1735847999999.0,53545724.51994,204593,76139809.0,25729333.06014,0,DOGEUSDT,2025-01-02 16:00:00,,,,,,,,,,,,.,,,,,-,None
1735848000000.0,0.33881,0.3404,0.33476,0.33893,86758390.0,1735862399999.0,29294978.60347,106259,39266499.0,13260729.52995,0,DOGEUSDT,2025-01-02 20:00:00,78.05719702133136,,,,,,,,,,,.,,,,,-,None
1735862400000.0,0.33894,0.34288,0.33599,0.34183,118902176.0,1735876799999.0,40404067.46655,150742,59206790.0,20116256.74673,0,DOGEUSDT,2025-01-03 00:00:00,80.49082878402066,,,,,,,,,,,.,,,,,-,None
1735876800000.0,0.34183,0.34208,0.33599,0.33684,135033596.0,1735891199999.0,45775990.36907,147267,65222064.0,22107498.50943,0,DOGEUSDT,2025-01-03 04:00:00,66.6211607865792,,,,,,,,,,,.,,,,,-,None
1735891200000.0,0.33685,0.34968,0.33599,0.34885,219417352.0,1735905599999.0,75227259.41597,203605,120380520.0,41287166.71283,0,DOGEUSDT,2025-01-03 08:00:00,77.01861286835084,,,,,,,,,,,.,,,,,-,None
1735905600000.0,0.34886,0.36913,0.34793,0.36618,815526600.0,1735919999999.0,293393781.23004,671385,428347232.0,154040622.69708,0,DOGEUSDT,2025-01-03 12:00:00,84.57979806327569,,,,,,,,,,,.,,,,,-,None
1735920000000.0,0.36617,0.3829,0.36458,0.37951,526045959.0,1735934399999.0,197768851.94459,574543,269144008.0,101210343.94566,0,DOGEUSDT,2025-01-03 16:00:00,87.91595286846977,,,,,,,,,,,.,,,,,-,None
1735934400000.0,0.3795,0.38944,0.37439,0.37989,337204354.0,1735948799999.0,128781656.59581,384668,165769893.0,63346667.46073,0,DOGEUSDT,2025-01-03 20:00:00,87.99671324277978,,,,,,,,,,,.,,,,,-,None
1735948800000.0,0.37989,0.395,0.37716,0.39213,466887975.0,1735963199999.0,180087016.50975,503442,223091120.0,86041171.56016,0,DOGEUSDT,2025-01-04 00:00:00,90.27948107864414,,,,,0.3473107985370622,,,,,,.,,,,,-,None
1735963200000.0,0.39212,0.39516,0.38443,0.38796,426996969.0,1735977599999.0,166246787.53917,390330,231661190.0,90175711.22843,0,DOGEUSDT,2025-01-04 04:00:00,84.31965505112146,,,,,0.351182151057342,,,0.343916,0.3923444381003776,0.2954875618996224,.,,,,,-,None
