open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,symbol,date,rsi_12,rsi_24,macd,macd_signal,macd_hist,ema_20,ema_50,ema_90,bb_mid,bb_upper,bb_lower,ema_check,macd_check,rsi_check,volume_ma,volume_strength,volume_signal,alert_signal
1735675200000.0,0.8493,0.8552,0.8423,0.8451,9551919.1,1735689599999.0,8100729.81477,23281,5525198.9,4686465.41671,0,ADAUSDT,2024-12-31 20:00:00,,,,,,,,,,,,.,,,,,-,None
1735689600000.0,0.845,0.8608,0.8438,0.8522,9526545.9,1735703999999.0,8137967.77822,24670,4995665.4,4267303.30148,0,ADAUSDT,2025-01-01 00:00:00,,,,,,,,,,,,.,,,,,-,None
1735704000000.0,0.8522,0.8595,0.8485,0.8518,11177100.0,1735718399999.0,9549643.69848,26244,5091590.3,4350539.87754,0,ADAUSDT,2025-01-01 04:00:00,,,,,,,,,,,,.,,,,,-,None
1735718400000.0,0.8519,0.8565,0.838,0.8532,15070533.4,1735732799999.0,12754379.00906,37385,7273799.1,6154744.53675,0,ADAUSDT,2025-01-01 08:00:00,,,,,,,,,,,,.,,,,,-,None
1735732800000.0,0.8532,0.8787,0.8529,0.877,22682516.6,1735747199999.0,19646546.56201,61046,12157120.8,10536701.70049,0,ADAUSDT,2025-01-01 12:00:00,,,,,,,,,,,,.,,,,,-,None
1735747200000.0,0.877,0.9355,0.876,0.9172,65220506.5,1735761599999.0,58853855.87699,158434,31304493.0,28276011.01039,0,ADAUSDT,2025-01-01 16:00:00,,,,,,,,,,,,.,,,,,-,None
1735761600000.0,0.9173,0.9324,0.9112,0.9222,48184114.9,1735775999999.0,44345325.03493,86317,18762169.9,17272756.25053,0,ADAUSDT,2025-01-01 20:00:00,,,,,,,,,,,,.,,,,,-,None
1735776000000.0,0.9222,0.9555,0.9222,0.9421,39877266.9,1735790399999.0,37656718.91449,107165,21158136.5,19974863.82543,0,ADAUSDT,2025-01-02 00:00:00,,,,,,,,,,,,.,,,,,-,None
1735790400000.0,0.9421,0.9495,0.9245,0.9335,22235260.8,1735804799999.0,20779128.95576,59482,10232301.8,9565467.56999,0,ADAUSDT,2025-01-02 04:00:00,,,,,,,,,,,,.,,,,,-,None
1735804800000.0,0.9335,0.9729,0.9288,0.9709,48596227.1,1735819199999.0,46454654.84608,98900,29249014.2,27978012.23133,0,ADAUSDT,2025-01-02 08:00:00,,,,,,,,,,,,.,,,,,-,None
1735819200000.0,0.971,0.9828,0.9494,0.955,46498786.4,1735833599999.0,44887231.76037,123463,22574260.5,21812349.96104,0,ADAUSDT,2025-01-02 12:00:00,,,,,,,,,,,,.,,,,,-,None
1735833600000.0,0.9551,0.9655,0.945,0.9571,23912861.1,1735847999999.0,22913670.11694,63275,12593863.8,12071669.21064,0,ADAUSDT,2025-01-02 16:00:00,,,,,,,,,,,,.,,,,,-,None
1735848000000.0,0.9571,0.9679,0.9555,0.9612,13861786.2,1735862399999.0,13335668.63621,39545,7242394.7,6968285.57218,0,ADAUSDT,2025-01-02 20:00:00,81.74572700237825,,,,,,,,,,,.,,,,,-,None
1735862400000.0,0.9612,1.031,0.9569,1.027,47835959.6,1735876799999.0,47371786.42187,115863,28112466.7,27856470.62902,0,ADAUSDT,2025-01-03 00:00:00,89.05965387463336,,,,,,,,,,,.,,,,,-,None
1735876800000.0,1.0269,1.0472,1.0059,1.0358,65348845.4,1735891199999.0,67177312.36214,174296,35439319.4,36456016.17422,0,ADAUSDT,2025-01-03 04:00:00,89.66386613993348,,,,,,,,,,,.,,,,,-,None
1735891200000.0,1.0359,1.0877,1.0346,1.0737,80520180.1,1735905599999.0,85274358.81123,207383,43209770.9,45751594.0579,0,ADAUSDT,2025-01-03 08:00:00,91.79333105084919,,,,,,,,,,,.,,,,,-,None
1735905600000.0,1.0737,1.1014,1.0545,1.086,85905976.9,1735919999999.0,93031797.70733,227419,38825246.9,42113852.95423,0,ADAUSDT,2025-01-03 12:00:00,92.35123345283628,,,,,,,,,,,.,,,,,-,None
1735920000000.0,1.086,1.1153,1.078,1.0966,60372542.3,1735934399999.0,66000846.81426,165847,29204986.6,31980690.10591,0,ADAUSDT,2025-01-03 16:00:00,92.81071326661439,,,,,,,,,,,.,,,,,-,None
1735934400000.0,1.0965,1.1194,1.085,1.0894,48443896.6,1735948799999.0,53329499.43896,121330,25197984.6,27772044.6353,0,ADAUSDT,2025-01-03 20:00:00,88.85545961343762,,,,,,,,,,,.,,,,,-,None
1735948800000.0,1.0894,1.1144,1.0766,1.0922,39413287.7,1735963199999.0,43157597.78419,117638,19422125.6,21270926.7887,0,ADAUSDT,2025-01-04 00:00:00,89.0533709748011,,,,,0.9906503180627999,,,,,,.,,,,,-,None
1735963200000.0,1.0922,1.0969,1.0734,1.0739,22153134.6,1735977599999.0,24036494.18918,68105,8738803.3,9481381.9921,0,ADAUSDT,2025-01-04 04:00:00,79.04497561512116,,,,,0.9985788591996761,,,0.9784,1.1526239454205272,0.8041760545794729,.,,,,,-,None
1735977600000.0,1.0739,1.0766,1.0565,1.0614,35705424.4,1735991999999.0,38004121.49081,84672,16978265.8,18073961.48154,0,ADAUSDT,2025-01-04 08:00:00,72.93684199795436,,,,,1.004561824990183,,,0.9888600000000001,1.156164165487515,0.8215558345124852,.,,,,,-,None
1735992000000.0,1.0614,1.093,1.0587,1.0653,43602869.6,1736006399999.0,46781565.20474,115958,20469406.6,21969970.09247,0,ADAUSDT,2025-01-04 12:00:00,73.63039715101854,,,,,1.0103464130863562,,,0.9995350000000001,1.156971212981305,0.8420987870186951,.,,,,,-,None
1736006400000.0,1.0652,1.0788,1.063,1.0728,17177422.7,1736020799999.0,18395277.80169,57027,8316133.1,8908212.78136,0,ADAUSDT,2025-01-04 16:00:00,74.97578708363189,,,,,1.0162943737447985,,,1.010515,1.155084695812672,0.8659453041873281,.,,,,,-,None
1736020800000.0,1.0728,1.0824,1.0687,1.0707,10916863.6,1736035199999.0,11736411.64287,38610,5267471.4,5662532.08176,0,ADAUSDT,2025-01-04 20:00:00,73.82526178551788,78.11595254504272,,,,1.0214758619595796,,,1.0202,1.152544749165122,0.887855250834878,.,,.,,,-,None
1736035200000.0,1.0707,1.0764,1.0521,1.0583,15044033.9,1736049599999.0,15974819.52925,48331,6958427.8,7394307.91875,0,ADAUSDT,2025-01-05 00:00:00,67.18425956560506,73.7113035918774,,,,1.024982922725334,,,1.0272549999999998,1.1512618160265906,0.903248183973409,.,,.,,,-,None
